Word,Time Period 0,Time Period 1,Time Period 2
orthogon,0.0001801810608913875,0.00027143693805579754,8.562873060620212e-05
yellow,0,0,8.562873060620212e-05
interchang,0.000360362121782775,0.0006785923451394939,0.0017125746121240426
prefix,0,0.0004071554070836963,0
payoff,0.0004504526522284687,0.0032572432566695705,0.0011988022284868296
scold,0,0,8.562873060620212e-05
lore,0,0.00013571846902789877,0
digit,0.0008108147740112436,0.0021714955044463803,0.0017125746121240426
skylin,0,0.00013571846902789877,0
disturb,0,0.0004071554070836963,0
prize,0,0.00013571846902789877,8.562873060620212e-05
wooden,9.009053044569374e-05,0.00013571846902789877,8.562873060620212e-05
wednesday,0.00027027159133708123,0,0
charter,0,0.00013571846902789877,0
miller,9.009053044569374e-05,0.0004071554070836963,0.00017125746121240425
histor,9.009053044569374e-05,0.0008143108141673926,0.00025688619181860636
second,0.0041441644005019125,0.0021714955044463803,0.002226346995761255
kodak,0,0,0.00017125746121240425
uslng,9.009053044569374e-05,0,0
dialogu,0.0016216295480224873,0.008550263548757623,0.0025688619181860636
cull,0,0.00013571846902789877,0
ongo,0,0.00027143693805579754,0.00017125746121240425
avers,0,0,8.562873060620212e-05
intellectu,0.004864888644067462,0.0014929031593068865,0.0007706585754558191
herd,9.009053044569374e-05,0,0
aug,0.0001801810608913875,0,0
militari,0,0,0.00042814365303101064
oxymoron,0,0,8.562873060620212e-05
menu,0,0.00027143693805579754,0.0003425149224248085
fumbl,0,0.00013571846902789877,0
controversi,0,0,8.562873060620212e-05
golden,0,0,8.562873060620212e-05
brought,0.0009009053044569374,0.001764340097362684,0.001455688420305436
pound,0.00027027159133708123,0,0.00017125746121240425
univ,0,0,8.562873060620212e-05
unit,0.0009009053044569374,0.0010857477522231902,0.0009419160366682233
augmant,0,0.00013571846902789877,0
dnl,0,0.0009500292831952913,0
exhort,0,0.00013571846902789877,0
reacijust,9.009053044569374e-05,0,0
music,0,0,0.00017125746121240425
telegraph,0,0,8.562873060620212e-05
strike,0.00072072424356555,0.0006785923451394939,0.00025688619181860636
swap,9.009053044569374e-05,0.00027143693805579754,0
relay,0,0,8.562873060620212e-05
relax,9.009053044569374e-05,0,0
relat,0.0008108147740112436,0.00013571846902789877,0.0007706585754558191
notic,0.0012612674262397123,0.0005428738761115951,0.0007706585754558191
hurt,0,0.00027143693805579754,0
glass,0,0,8.562873060620212e-05
biblio,0,0,8.562873060620212e-05
hole,0.0005405431826741625,0.00027143693805579754,0.00025688619181860636
hold,0.0014414484871311,0.0010857477522231902,0.001455688420305436
accid,0,0.00013571846902789877,0.00025688619181860636
conceptu,0.006306337131198562,0.004071554070836963,0.0018838320733364465
rework,9.009053044569374e-05,0,0
swivel,9.009053044569374e-05,0.00027143693805579754,8.562873060620212e-05
permanan,0,0.00013571846902789877,0
cautiou,0,0,8.562873060620212e-05
caution,0,0.00027143693805579754,0
want,0.0009909958349026311,0.005564457230143849,0.0032538917630356803
travel,0.0001801810608913875,0.0012214662212510891,0.0005994011142434148
classifi,0.0001801810608913875,0.00013571846902789877,0.00017125746121240425
revisit,9.009053044569374e-05,0,8.562873060620212e-05
how,9.009053044569374e-05,0,0.00017125746121240425
hot,9.009053044569374e-05,0.00013571846902789877,8.562873060620212e-05
playback,0,0.00027143693805579754,0
hop,0.0004504526522284687,0,0
symposium,0,0,8.562873060620212e-05
perspect,0.0005405431826741625,0.0006785923451394939,0.00042814365303101064
overpopul,0,0,8.562873060620212e-05
nonmathemat,9.009053044569374e-05,0,0
diagram,0.00216217273069665,0.0013571846902789878,0.0005137723836372127
wrong,0.0005405431826741625,0.0005428738761115951,0.0005994011142434148
beauti,0.00027027159133708123,0.00027143693805579754,0.0016269458815178401
antonym,9.009053044569374e-05,0,0
siberia,0,0,0.00017125746121240425
reshap,9.009053044569374e-05,0,0
researchth,9.009053044569374e-05,0,0
speckl,0,0,8.562873060620212e-05
revolt,0,0,8.562873060620212e-05
codiak,0,0,0.0015413171509116382
childhood,9.009053044569374e-05,0,0
dispar,0,0.00013571846902789877,0
menlo,0.0011711768957940187,0.0006785923451394939,0.000685029844849617
someplac,9.009053044569374e-05,0.00013571846902789877,0.0005137723836372127
wind,0,0,0.0010275447672744254
wine,0,0,0.00017125746121240425
feedback,0.002702715913370812,0.0016286216283347853,0.0011988022284868296
subiect,9.009053044569374e-05,0,0
surrend,0,0,0.00017125746121240425
appar,0.0004504526522284687,0.0004071554070836963,0.00025688619181860636
vari,0.00027027159133708123,0.00013571846902789877,0
dreamer,0,0,0.00025688619181860636
activtit,9.009053044569374e-05,0,0
fit,0.001351357956685406,0.0012214662212510891,0.0016269458815178401
unforeseen,0,0,0.00017125746121240425
fix,0.0005405431826741625,0.00013571846902789877,0.0005137723836372127
inan,9.009053044569374e-05,0,0
fig,0.003153168565599281,0.0048858648850043564,0
hillsid,0.0001801810608913875,0,0
hidden,0.000360362121782775,0.00013571846902789877,0.00042814365303101064
easier,0.0008108147740112436,0.0004071554070836963,0.00042814365303101064
proce,9.009053044569374e-05,0.00013571846902789877,0
enrich,9.009053044569374e-05,0.00027143693805579754,8.562873060620212e-05
slate,0,0.00027143693805579754,0
rectangl,0,0.00013571846902789877,0
surgic,0,0,8.562873060620212e-05
interrupt,0.000360362121782775,0.00027143693805579754,0.00017125746121240425
scholar,9.009053044569374e-05,0,0
debut,0,0,8.562873060620212e-05
accommod,0.001081086365348325,0.0008143108141673926,0.0005994011142434148
arrow,0.0006306337131198562,0,0.0003425149224248085
debug,0.0009909958349026311,0.0008143108141673926,8.562873060620212e-05
concord,0,0,8.562873060620212e-05
mdc,0,0.00013571846902789877,0
rind,9.009053044569374e-05,0,0
commiss,0,0,8.562873060620212e-05
whip,0,0.00013571846902789877,8.562873060620212e-05
tricksj,9.009053044569374e-05,0,0
dsp,0.0009009053044569374,0,0
tomorrow,0.0001801810608913875,0.0009500292831952913,0.0005994011142434148
semiconductor,0,0,0.00025688619181860636
adapt,0.000360362121782775,0.0016286216283347853,0.0015413171509116382
sensori,0.0009009053044569374,0.0006785923451394939,0.0009419160366682233
andus,9.009053044569374e-05,0,0
navig,0.00027027159133708123,0.0004071554070836963,0.0003425149224248085
syn,9.009053044569374e-05,0,0
knit,0.00027027159133708123,0.00013571846902789877,0.00017125746121240425
atf,0,0,0.00042814365303101064
ate,9.009053044569374e-05,0,0
reformul,0,0.00013571846902789877,0
silicon,9.009053044569374e-05,0,0.00025688619181860636
pagin,0,0,8.562873060620212e-05
unabl,9.009053044569374e-05,0,8.562873060620212e-05
confus,0.0001801810608913875,0.00013571846902789877,0.00017125746121240425
invigor,9.009053044569374e-05,0,0
clariti,9.009053044569374e-05,0,0
wast,0,0.00013571846902789877,0.00042814365303101064
wash,9.009053044569374e-05,0.00013571846902789877,8.562873060620212e-05
instruct,0.0011711768957940187,0.0010857477522231902,0.0003425149224248085
sutherland,9.009053044569374e-05,0.00013571846902789877,8.562873060620212e-05
tangl,0.00027027159133708123,0,0
underlin,0.0022522632611423434,0,0
master,0.0008108147740112436,0.0004071554070836963,8.562873060620212e-05
intraven,0,0,8.562873060620212e-05
bitter,0,0,8.562873060620212e-05
listen,0.0005405431826741625,0.00013571846902789877,0.0011131734978806274
wisdom,9.009053044569374e-05,0,8.562873060620212e-05
crawl,0,0,8.562873060620212e-05
technic,0.000360362121782775,0.0013571846902789878,0.0012844309590930318
trek,0,0,8.562873060620212e-05
outlay,9.009053044569374e-05,0,0
tree,0.001081086365348325,0.0004071554070836963,0.00042814365303101064
project,0.0032432590960449746,0.005835894168199647,0.005223352566978329
tion,0.0004504526522284687,0,0
uniniti,0.0001801810608913875,0,0
entail,0.0001801810608913875,0,0
boston,9.009053044569374e-05,0,8.562873060620212e-05
spectrum,0,0.00027143693805579754,0.00017125746121240425
spent,0.0004504526522284687,0.00013571846902789877,0.0005137723836372127
aforement,0,0,8.562873060620212e-05
increment,0.0001801810608913875,0.00027143693805579754,0.00017125746121240425
miniatur,9.009053044569374e-05,0,0.00025688619181860636
dozen,0.0001801810608913875,0.00027143693805579754,0.00025688619181860636
tranship,0,0.00013571846902789877,0
hum,0,0.00013571846902789877,0
simplifi,0.0001801810608913875,0.0004071554070836963,0.00017125746121240425
object,0.003423440156936362,0.005564457230143849,0.005052095105765925
microsecond,9.009053044569374e-05,0.00013571846902789877,0
mouth,0,0,0.00017125746121240425
letter,0.0019819916698052623,0.0010857477522231902,0.0005994011142434148
oldtruli,9.009053044569374e-05,0,0
professor,0,0.0004071554070836963,0.0012844309590930318
camp,0,0,0.00025688619181860636
dummi,9.009053044569374e-05,0,0
tech,0.000360362121782775,0,0.00017125746121240425
diifer,9.009053044569374e-05,0,0
bomb,0,0.00013571846902789877,0.0003425149224248085
transluc,9.009053044569374e-05,0,0
advisori,0,0.00013571846902789877,0
layout,0.00027027159133708123,0.00027143693805579754,0
ment,0.0004504526522284687,0,0
buss,0.0001801810608913875,0,0
theme,0,0.0010857477522231902,0.0003425149224248085
busi,0.000360362121782775,0.0021714955044463803,0.004966466375159723
rich,0.0009009053044569374,0.0010857477522231902,0.00025688619181860636
themj,0.0001801810608913875,0,0
shortharrl,9.009053044569374e-05,0,0
pirtl,9.009053044569374e-05,0,0
stunningli,0,0,8.562873060620212e-05
hasten,0,0.00013571846902789877,0
respond,0.000360362121782775,0.0004071554070836963,0.0005137723836372127
blew,0,0.00013571846902789877,0
fair,0.0001801810608913875,0.00027143693805579754,0.00025688619181860636
specialist,0.00072072424356555,0.0013571846902789878,0.00025688619181860636
result,0.0008108147740112436,0.0004071554070836963,0.00042814365303101064
respons,0.00216217273069665,0.0023072139734742793,0.0032538917630356803
fail,9.009053044569374e-05,0.00027143693805579754,0.00025688619181860636
hammer,0,0.00013571846902789877,0
best,0.0023423537915880374,0.002850087849585874,0.0047952089139473185
heterogen,0,0,8.562873060620212e-05
figur,0.004954979174513156,0.003664398663753267,0.004538322722128713
score,9.009053044569374e-05,0,0
inabl,0,0,8.562873060620212e-05
natura,9.009053044569374e-05,0,0
extend,0.0015315390175767935,0.0031215247876416716,0.001455688420305436
extens,0.0016216295480224873,0.0031215247876416716,0.0005994011142434148
extent,0.0004504526522284687,0.00013571846902789877,0.00025688619181860636
toler,9.009053044569374e-05,0,0.00017125746121240425
advertis,0,0.0005428738761115951,0.00017125746121240425
debt,0,0,8.562873060620212e-05
accident,9.009053044569374e-05,0.00013571846902789877,0
puter,9.009053044569374e-05,0,0
piti,9.009053044569374e-05,0.00027143693805579754,8.562873060620212e-05
logic,0.0016216295480224873,0.00013571846902789877,0.0005137723836372127
countri,9.009053044569374e-05,0.0006785923451394939,0.002226346995761255
compromis,9.009053044569374e-05,0,0
assur,0.00027027159133708123,0.00027143693805579754,0.00017125746121240425
summat,9.009053044569374e-05,0,0
assum,0.0020720822002509563,0.0047501464159764575,0.0015413171509116382
summar,0.0004504526522284687,0.0009500292831952913,8.562873060620212e-05
duplic,0.0006306337131198562,0,8.562873060620212e-05
adroitli,0,0.00013571846902789877,0
studious,9.009053044569374e-05,0,0
stadium,0,0,8.562873060620212e-05
life,0.0011711768957940187,0.0006785923451394939,0.002055089534548851
eastern,0,0,8.562873060620212e-05
worker,0.0022522632611423434,0.015200468531124662,0.002140718265155053
ldlim,0.0001801810608913875,0,0
boardroom,0,0,8.562873060620212e-05
dave,0.000360362121782775,0.00013571846902789877,8.562873060620212e-05
lift,0.0001801810608913875,0,0.00017125746121240425
photogaph,0,0.00013571846902789877,0
davi,9.009053044569374e-05,0,0
ant,0,0,0.0003425149224248085
commerci,0.00072072424356555,0.0023072139734742793,0.0018838320733364465
employ,0.0004504526522284687,0.0048858648850043564,0.001370059689699234
toolkit,0,0.00013571846902789877,0
player,0,0.00013571846902789877,0.0003425149224248085
elicit,0,0.0006785923451394939,8.562873060620212e-05
eighteen,9.009053044569374e-05,0,0
feed,0.0004504526522284687,0,0.000685029844849617
harmoni,0,0.00013571846902789877,0
transpar,9.009053044569374e-05,0.0005428738761115951,8.562873060620212e-05
haphazard,0,0,8.562873060620212e-05
renumb,0,0,0.00025688619181860636
split,0.0001801810608913875,0.0006785923451394939,0.0003425149224248085
jungl,0,0,0.0003425149224248085
electro,9.009053044569374e-05,0,0
european,9.009053044569374e-05,0,8.562873060620212e-05
preachi,9.009053044569374e-05,0,0
marcher,9.009053044569374e-05,0,0
fairli,0.0009009053044569374,0.0009500292831952913,0.0005994011142434148
effortlessli,9.009053044569374e-05,0,0
ownership,0,0,8.562873060620212e-05
refin,9.009053044569374e-05,0.00013571846902789877,0.00017125746121240425
tune,9.009053044569374e-05,0.00013571846902789877,0.00042814365303101064
academia,0,0,8.562873060620212e-05
legisl,0,0,0.00017125746121240425
unchang,9.009053044569374e-05,0.00013571846902789877,8.562873060620212e-05
beset,0,0,8.562873060620212e-05
hah,0,0,8.562873060620212e-05
ham,9.009053044569374e-05,0,0
easi,0.0019819916698052623,0.00447870947792066,0.002140718265155053
hay,9.009053044569374e-05,0,0
mcnamara,0,0.00013571846902789877,0
nlss,0,0.00027143693805579754,0
har,0.001351357956685406,0.0031215247876416716,0.002997005571217074
east,0,0,0.00025688619181860636
hat,0,0,0.00042814365303101064
quirk,0,0,8.562873060620212e-05
preserv,0,0.00013571846902789877,0
birth,0,0,8.562873060620212e-05
measur,0.001081086365348325,0.0008143108141673926,0.0003425149224248085
semi,0.0005405431826741625,0,8.562873060620212e-05
specif,0.006306337131198562,0.00665020498236704,0.0024832331875798614
remind,0.0001801810608913875,0.00027143693805579754,0.00017125746121240425
theoretician,9.009053044569374e-05,0,0
bobbi,0,0,8.562873060620212e-05
underli,0,0.0008143108141673926,0.00025688619181860636
attorney,0.0001801810608913875,0,8.562873060620212e-05
right,0,0.0006785923451394939,0.00025688619181860636
old,0,0,8.562873060620212e-05
creek,0,0,0.00017125746121240425
crowd,9.009053044569374e-05,0,0
exoner,9.009053044569374e-05,0,0
northrop,0,0,0.00025688619181860636
righl,9.009053044569374e-05,0,0
transmiss,0,0.0004071554070836963,8.562873060620212e-05
peripheri,9.009053044569374e-05,0,0
bottom,0.0009909958349026311,0.00013571846902789877,0.00025688619181860636
fox,0,0,0.00017125746121240425
korzybski,9.009053044569374e-05,0,0
condit,0.0015315390175767935,0.0008143108141673926,0.0008562873060620213
sensibl,0.0001801810608913875,0.0005428738761115951,0.00042814365303101064
supercard,0,0,8.562873060620212e-05
binder,0,0.00027143693805579754,0
colleg,0,0.00013571846902789877,0.0005994011142434148
synergesi,0.0001801810608913875,0,0
filipino,0,0,8.562873060620212e-05
groupwar,0,0,8.562873060620212e-05
movelet,9.009053044569374e-05,0,0
overshadow,0,0,8.562873060620212e-05
mba,0,0,8.562873060620212e-05
